sub_sector,quarter,lm_mean,finbert_mean,gpt_mean,n_companies,sector
Internet Retail,2024Q2,0.17218973359324236,0.49425837689544094,0.34495200264812975,2,IT
Internet Retail,2024Q3,0.17099186655638268,0.4420671593601029,0.29875930521091815,2,IT
Real Estate Services,2023Q4,0.15447154471544716,0.4763536544297102,0.4048780487804878,1,IT
Real Estate Services,2024Q1,0.17105263157894737,0.4206460604836282,0.3642105263157895,1,IT
Real Estate Services,2024Q2,0.2128787878787879,0.5206263546027582,0.3878787878787879,1,IT
Real Estate Services,2024Q3,0.16233766233766234,0.47533915430767004,0.34025974025974026,1,IT
Scientific & Technical Instruments,2023Q4,0.1193163101604278,0.3156914726352359,0.24050267379679147,5,IT
Scientific & Technical Instruments,2024Q1,0.11319701943534828,0.27078312158746354,0.2453775061779493,5,IT
Scientific & Technical Instruments,2024Q2,0.17112807109314604,0.31030667472124634,0.325907646675235,5,IT
Scientific & Technical Instruments,2024Q3,0.15786012338450864,0.3068286480009843,0.2866352849336456,5,IT
Security & Protection Services,2023Q4,0.16417910447761194,0.45026924446530975,0.32238805970149254,1,IT
Security & Protection Services,2024Q1,0.048611111111111105,0.12409865526327242,0.13333333333333333,1,IT
Security & Protection Services,2024Q2,0.10294117647058823,0.463252870242714,0.39999999999999997,1,IT
Security & Protection Services,2024Q3,0.1574468085106383,0.42390768261665995,0.3,1,IT
Semiconductor Equipment & Materials,2023Q4,0.15414693813131314,0.42194224258008295,0.2638392857142857,4,IT
Semiconductor Equipment & Materials,2024Q1,0.15723407859078592,0.40702924952777214,0.34542586140147113,4,IT
Semiconductor Equipment & Materials,2024Q2,0.17243131230200195,0.4406701994910962,0.35304131213613976,4,IT
Semiconductor Equipment & Materials,2024Q3,0.1525181084553665,0.39030349550700216,0.2527661787388849,4,IT
Semiconductors,2023Q4,0.09975236880656121,0.27197375520257017,0.210228291238156,13,IT
Semiconductors,2024Q1,0.14176249222634388,0.3583623940450684,0.27846303558055713,13,IT
Semiconductors,2024Q2,0.13589421674308072,0.348371844926271,0.29437312292620604,13,IT
Semiconductors,2024Q3,0.14456338746770614,0.32692668417328086,0.2785868586725566,13,IT
Software - Application,2023Q4,0.16427140759183617,0.3593811914259118,0.293966565068884,14,IT
Software - Application,2024Q1,0.1498706110069108,0.37604512740654794,0.3250335356839093,14,IT
Software - Application,2024Q2,0.1678326967624215,0.41038488381048427,0.36628411197020155,14,IT
Software - Application,2024Q3,0.18072547923213028,0.3791865003646454,0.3320658190542806,14,IT
Software - Infrastructure,2023Q4,0.16350781692470215,0.37587278637269655,0.28199190035382093,13,IT
Software - Infrastructure,2024Q1,0.1706552267308409,0.3642588870647191,0.3248535685542552,13,IT
Software - Infrastructure,2024Q2,0.1694043365309098,0.3850091141555658,0.3185414265930027,13,IT
Software - Infrastructure,2024Q3,0.153529908811925,0.38375216710493076,0.326598577197129,13,IT
Specialty Business Services,2023Q4,0.06845238095238095,0.4535753197435822,0.27142857142857146,1,IT
Specialty Business Services,2024Q1,0.1015625,0.4523397510056384,0.1625,1,IT
Specialty Business Services,2024Q2,0.10897435897435896,0.31685288588946253,0.2,1,IT
Specialty Business Services,2024Q3,0.16,0.4033090261369944,0.20800000000000002,1,IT
Specialty Chemicals,2023Q4,0.13237547892720306,0.29395877794715863,0.26666666666666666,1,IT
Specialty Chemicals,2024Q1,0.09748427672955975,0.3687290267069947,0.3358490566037736,1,IT
Specialty Chemicals,2024Q2,0.060000000000000005,0.2879437384971728,0.16666666666666666,1,IT
Specialty Chemicals,2024Q3,0.11434108527131784,0.4762164481785582,0.22325581395348837,1,IT
Telecom Services,2023Q4,0.1678201196760397,0.4254465276055263,0.3152903335678731,6,IT
Telecom Services,2024Q1,0.14814141759687738,0.42689948494372487,0.3226723513462305,6,IT
Telecom Services,2024Q2,0.1681650171411427,0.3922126883644568,0.30369268736770133,6,IT
Telecom Services,2024Q3,0.1406029959090608,0.36677536618568946,0.29228590050653463,6,IT
Travel Services,2023Q4,0.1642512077294686,0.39209400696436997,0.3884057971014493,1,IT
Travel Services,2024Q1,0.14545454545454545,0.30532154195349326,0.28,1,IT
Travel Services,2024Q2,0.13272727272727272,0.258345252410932,0.2333333333333333,1,IT
Travel Services,2024Q3,0.17592592592592593,0.3392290695926841,0.35802469135802467,1,IT
Aerospace & Defense,2023Q4,0.14200924663723566,0.40615953883314776,0.296026460582376,12,Industrials
